label,nr_errors,total,perc. errors
book.periodical,1.0,0,inf
broadcast.radio_format,0.0,0,
music.producer,8.0,0,inf
film.music_contributor,2.0,0,inf
media_common.media_genre,6.0,0,inf
celebrities.celebrity,4.0,0,inf
film.film_festival_focus,2.0,0,inf
fictional_universe.fictional_character,2.0,0,inf
spaceflight.astronaut,0.0,0,
time.event,4.0,0,inf
music.group_member,37.0,0,inf
broadcast.artist,28.0,0,inf
tv.tv_program_creator,1.0,0,inf
music.media_format,0.0,0,
music.artist,54.0,0,inf
book.book,1.0,0,inf
film.film,4.0,0,inf
music.performance_role,1.0,0,inf
music.composition,4.0,0,inf
film.actor,63.0,0,inf
award.award_discipline,2.0,0,inf
music.musical_scale,0.0,0,
music.lyricist,14.0,0,inf
language.human_language,0.0,0,
law.invention,1.0,0,inf
location.country,0.0,0,
film.film_character,2.0,0,inf
award.competition,4.0,0,inf
tv.tv_actor,43.0,0,inf
location.location,7.0,0,inf
business.business_operation,21.0,0,inf
tv.tv_genre,3.0,0,inf
tv.tv_director,2.0,0,inf
location.citytown,1.0,0,inf
film.film_distributor,4.0,0,inf
theater.theater_actor,1.0,0,inf
food.food,0.0,0,
tv.tv_producer,1.0,0,inf
film.director,28.0,0,inf
award.award_presenting_organization,1.0,0,inf
award.award_ceremony,0.0,0,
music.record_label,1.0,0,inf
film.production_company,10.0,0,inf
government.politician,0.0,0,
film.writer,30.0,0,inf
broadcast.tv_station,1.0,0,inf
music.genre,0.0,0,
film.film_genre,3.0,0,inf
book.written_work,4.0,0,inf
broadcast.radio_station,0.0,0,
location.administrative_division,1.0,0,inf
music.composer,33.0,0,inf
tv.tv_network,1.0,0,inf
award.award_category,0.0,0,
music.album,8.0,0,inf
people.person,283.0,0,inf
organization.organization,13.0,0,inf
music.writer,3.0,0,inf
tv.tv_character,1.0,0,inf
theater.play,0.0,0,
music.musical_group,9.0,0,inf
book.author,5.0,0,inf
business.product_category,1.0,0,inf
film.producer,16.0,0,inf
interests.collection_category,1.0,0,inf
broadcast.broadcast,3.0,0,inf
