label,nr_errors,total,perc. errors
TelevisionEpisode,0.0,0,
University,2.0,0,inf
Park,2.0,0,inf
Organisation,1.0,0,inf
HistoricPlace,0.0,0,
ProtectedArea,0.0,0,
Royalty,1.0,0,inf
PrimeMinister,0.0,0,
Politician,0.0,0,
Actor,3.0,0,inf
OfficeHolder,0.0,0,
Bird,0.0,0,
Letter,0.0,0,
Monarch,0.0,0,
President,1.0,0,inf
Software,0.0,0,
Film,1.0,0,inf
Newspaper,0.0,0,
Book,4.0,0,inf
InternationalOrganisation,0.0,0,
Mine,0.0,0,
Automobile,0.0,0,
College,3.0,0,inf
Scientist,2.0,0,inf
Writer,0.0,0,
Person,2.0,0,inf
