label,nr_errors,total,perc. errors
music.artist,85.0,0,inf
theater.play,0.0,0,
music.producer,7.0,0,inf
film.production_company,9.0,0,inf
film.writer,16.0,0,inf
broadcast.radio_format,0.0,0,
tv.tv_actor,55.0,0,inf
music.composition,12.0,0,inf
film.film_festival_focus,2.0,0,inf
broadcast.tv_station,1.0,0,inf
film.film_distributor,5.0,0,inf
interests.collection_category,1.0,0,inf
tv.tv_network,1.0,0,inf
location.administrative_division,1.0,0,inf
government.politician,0.0,0,
tv.tv_genre,4.0,0,inf
music.musical_scale,0.0,0,
music.composer,32.0,0,inf
music.performance_role,1.0,0,inf
business.product_category,1.0,0,inf
book.book,4.0,0,inf
time.event,21.0,0,inf
media_common.media_genre,11.0,0,inf
law.invention,1.0,0,inf
broadcast.artist,21.0,0,inf
award.award_discipline,2.0,0,inf
theater.theater_actor,1.0,0,inf
celebrities.celebrity,5.0,0,inf
organization.organization,41.0,0,inf
broadcast.radio_station,2.0,0,inf
location.citytown,3.0,0,inf
location.country,4.0,0,inf
location.location,8.0,0,inf
film.producer,17.0,0,inf
music.group_member,43.0,0,inf
film.director,63.0,0,inf
music.record_label,6.0,0,inf
language.human_language,0.0,0,
award.award_presenting_organization,1.0,0,inf
broadcast.broadcast,6.0,0,inf
music.writer,3.0,0,inf
tv.tv_program_creator,2.0,0,inf
food.food,0.0,0,
people.person,333.0,0,inf
film.music_contributor,8.0,0,inf
film.film_character,5.0,0,inf
film.film,58.0,0,inf
award.award_ceremony,11.0,0,inf
music.musical_group,11.0,0,inf
award.competition,4.0,0,inf
book.author,12.0,0,inf
music.album,24.0,0,inf
film.actor,87.0,0,inf
tv.tv_director,2.0,0,inf
music.genre,1.0,0,inf
book.written_work,4.0,0,inf
music.lyricist,14.0,0,inf
tv.tv_character,0.0,0,
award.award_category,0.0,0,
business.business_operation,42.0,0,inf
book.periodical,2.0,0,inf
tv.tv_producer,1.0,0,inf
music.media_format,0.0,0,
fictional_universe.fictional_character,5.0,0,inf
film.film_genre,3.0,0,inf
spaceflight.astronaut,0.0,0,
